STNID,LAT,LONG,ELV,STN_NAME
PA86068,-22.01666667,-60.61666667,165,Mcal Estigarribia
PA86086,-22.26666667,-57.93333333,73,La Victoria
PA86128,-23.48333333,-58.78333333,103,Pozo Colorado
PE157414,-14.91488889,-69.86802778,3860,Putina
PE157418,-14.48891667,-69.549,3879,Cuyo Cuyo
PE158308,-16.735,-70.6828,3253,Calacoa
PE158310,-16.13261111,-70.55208333,3955,Ichunha
PE158326,-17.18772222,-69.7355,4541,Capazo
PE158327,-17.23722222,-69.81305556,4279,Challapalca
PE158328,-17.525,-69.77944444,4571,Paucarani
PE690,-13.61,-71.56027778,3864,Ccatcca
PE762,-15.48527778,-70.67577778,4352,Pampahuta
PE764,-14.78477778,-70.71569444,3925,Chuquibambilla
PE779,-15.67344444,-70.37211111,3903,Lampa
PE783,-15.13625,-70.11822222,3855,Arapa
PE786,-15.2015,-69.75355556,3942,Huancane
PE787,-15.38827778,-69.48427778,3873,Huaraya Moho
PE815,-15.04561111,-70.36663889,3865,Pucara
PE818,-15.72047222,-69.691,3815,Isla Talique
PE822,-16.33022222,-68.85094444,3825,Isla Suana
PE823,-14.62375,-70.78652778,3950,Santa Rosa
PE826,-14.67872222,-69.53452778,4698,Ananea
PE860,-17.31361111,-69.66185556,4256,Chuapalca
PE878,-16.739,-69.71547222,3976,Mazo Cruz
PE879,-16.0675,-69.66194444,3871,Ilave
PE881,-16.90702778,-69.36855556,3926,Pizacoma
PE882,-16.30783333,-69.07472222,3873,Tahuaco_Yunguyo
PE883,-16.56335,-69.03883333,3835,Desaguadero
